,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm,Numbers_for_Type_house_in_df,Numbers_for_Cities_in_df
3803,קרן קיימת לישראל 27,3.0,2,1380000.0,1,1,1,1,2,84.0,1,17
3804,אנה פרנק 2,3.0,7,1570000.0,1,1,2,1,2,70.0,1,17
3805,מבצע סיני 24,3.0,4,1420000.0,2,1,1,1,1,72.0,1,17
3806,השרון,5.0,0,7150000.0,2,1,1,2,2,500.0,3,40
3807,אשתאול,4.0,8,11500000.0,2,2,2,2,2,100.0,1,13
3808,רמז,3.0,2,1590000.0,1,1,1,2,2,120.0,1,9
3809,הצוף,3.0,2,1350000.0,2,2,1,2,2,70.0,1,6
3810,ורדינון,4.0,3,1445000.0,2,2,1,2,2,100.0,1,6
3811,בן פתחיה,8.0,3,3000000.0,1,1,2,2,2,200.0,8,36
3812,הגליל,4.0,3,1350000.0,1,1,1,1,2,100.0,1,11
3813,אחלמה,4.0,2,1420000.0,1,1,1,1,1,79.0,1,6
3814,צוקית 5,5.0,1,3000000.0,2,1,1,2,2,300.0,3,108
3815,אורן,4.0,0,1450000.0,1,1,2,2,2,112.0,7,47
3816,ארלוזורוב,3.0,0,550000.0,2,1,1,1,2,60.0,1,11
3817,הציונות,5.0,3,2500000.0,2,2,2,2,1,147.0,1,4
3818,חיים הרצוג,4.0,16,2149000.0,1,2,2,2,2,123.0,1,134
3819,עוזיאל,5.0,1,2770000.0,1,1,1,2,2,170.0,8,15
3820,שמגר בן ענת,4.0,5,1150000.0,2,1,2,1,2,117.0,1,58
3821,אשר,4.0,5,1950000.0,1,1,2,2,2,105.0,1,25
3822,בית לחם,3.0,4,1650000.0,2,1,2,1,2,80.0,1,9
3823,בת לחם,3.0,4,1650000.0,2,1,2,1,2,80.0,1,9
3824,רמב''ן,5.0,2,1350000.0,2,1,2,2,2,140.0,1,11
3825,משעול הדרור,5.0,0,1100000.0,1,1,1,1,1,110.0,3,68
3826,החרצית,5.0,1,2170000.0,2,1,1,2,2,105.0,1,6
3827,צבי ישי,4.0,2,1490000.0,2,1,1,1,2,104.0,1,59
3828,לוס אנג'לס,3.0,2,970000.0,1,2,1,2,1,70.0,1,97
3829,פיק''א,3.0,4,429000.0,1,1,1,1,2,70.0,1,37
3830,בן צבי,6.0,2,1800000.0,2,1,1,2,2,122.0,8,32
3831,גיורא יוספטל,4.0,2,1280000.0,1,1,1,1,1,93.0,1,7
3832,משה שרת,4.0,3,940000.0,1,1,1,1,2,92.0,1,116
3833,בית לחם ,3.0,2,2415000.0,1,1,2,1,1,65.0,10,51
3834,חפץ חיים,4.0,3,1365000.0,2,1,1,2,2,103.0,1,19
3835,ההדס 669,6.0,0,3950000.0,1,2,1,2,2,190.0,5,28
3836,הגורן,3.0,2,650000.0,1,1,1,1,2,74.0,1,188
3837,ההתיישבות,5.0,5,2525000.0,1,1,1,2,2,123.0,1,9
3838,עתניאל בן קנז,5.0,6,1140000.0,1,1,2,1,1,125.0,1,58
3839,הנבל,3.0,4,1190000.0,2,1,1,1,2,85.0,1,166
3840,דוד אלעזר,3.0,1,700000.0,1,1,1,1,2,75.0,1,87
3841,חנה סנד,4.0,15,1490000.0,1,1,1,1,2,100.0,1,11
3842,ברל כצנלסון,5.0,0,2600000.0,2,2,1,2,1,140.0,3,19
3843,תאשור,5.0,2,1250000.0,1,1,2,2,2,147.0,1,60
3844,מלכית,6.0,0,3250000.0,1,1,1,2,2,215.0,5,200
3845,קרצ'בסקי,3.0,1,1550000.0,1,1,1,1,1,80.0,1,9
3846,עזריאל,4.0,2,1840000.0,1,2,2,2,2,112.0,1,19
3847,עמק הזיתים,5.0,0,2000000.0,2,2,1,2,2,550.0,5,32
3848,נת 600,10.0,0,6800000.0,1,1,2,2,2,900.0,3,25
3849,תרשיש 9,4.0,2,1050000.0,1,1,2,2,2,144.0,1,60
3850,הגר''א,3.0,3,1420000.0,2,1,1,2,1,125.0,1,10
3851,ביל'ו,4.0,0,1270000.0,2,1,1,1,2,100.0,2,98
3852,קינמון,5.0,1,1700000.0,1,1,2,2,2,138.0,1,97
3853,י.ל. פרץ,2.0,2,1890000.0,1,1,1,1,1,42.0,1,3
3854,שדרות בן גוריון,5.0,19,2300000.0,1,1,2,2,2,148.0,1,25
3855,קהילת ורשה,4.0,3,1750000.0,1,1,2,1,1,78.0,6,10
3856,קלויזנר,4.0,4,1890000.0,2,2,2,1,2,100.0,1,10
3857,חרוזים,5.0,5,3000000.0,1,2,2,2,2,128.0,1,3
3858,שדרות משה דיין 76 ,6.0,4,2250000.0,2,1,2,2,2,124.0,8,6
3859,אוסקר שינדלר,5.0,11,2300000.0,1,1,2,2,2,150.0,1,11
3860,הדוגית,4.0,8,2250000.0,2,2,2,2,2,120.0,1,9
3861,הרב גורן,5.0,5,3350000.0,2,2,2,2,2,242.0,12,9
3862,אין,6.0,0,1350000.0,1,1,1,2,2,600.0,3,353
3863,חרוב,4.0,2,1850000.0,1,2,1,1,2,100.0,1,11
3864,חבצלת,3.0,3,700000.0,2,2,1,2,1,100.0,1,92
3865,אייזיק רמבה,4.0,3,1670000.0,2,2,1,2,2,85.0,1,6
3866,יזהר,5.0,3,2200000.0,1,1,2,2,1,130.0,9,3
3867,ישראל בן זאב,5.0,1,3600000.0,2,1,1,2,2,155.0,3,6
3868,הרב שמעון גבאי,4.0,5,1800000.0,1,1,2,1,2,107.0,1,25
3869,בלפור,4.0,3,1500000.0,1,1,1,1,1,90.0,1,17
3870,תרמב,3.0,3,2200000.0,1,1,2,2,2,100.0,1,9
3871,אוסישקין,3.0,0,2400000.0,2,1,1,1,1,60.0,1,6
3872,הנשר,5.0,2,3800000.0,1,1,2,2,2,155.0,8,48
3873,וולקני,3.0,2,1550000.0,1,1,1,1,2,76.0,1,10
3874,וולקני,3.0,3,1650000.0,1,1,1,1,1,76.0,1,10
3875,רח התמיד 2,5.0,0,7000000.0,2,1,1,2,2,190.0,1,6
3876,הרצל,3.0,4,1270000.0,1,1,1,1,2,69.0,1,9
3877,תאנה,6.0,0,1990000.0,2,1,1,2,2,180.0,2,24
3878,גלבוע 4,3.0,1,690000.0,1,1,1,1,1,75.0,1,182
3879,תלמים,4.0,3,1180000.0,2,1,1,1,2,125.0,8,26
3880,מיכה,4.0,1,1300000.0,1,1,1,2,1,70.0,1,13
3881,יעקב פיכמן,4.0,0,1300000.0,2,1,2,1,2,120.0,7,23
3882,דוד המלך,4.0,2,1740000.0,1,2,1,1,1,75.0,1,36
3883,נחמה הנדל,5.0,2,2900000.0,1,1,2,2,2,121.0,1,84
3884,הגפן 74,6.0,0,3250000.0,1,2,1,2,2,170.0,8,354
3885,האלה 131,5.0,0,1500000.0,2,1,1,2,2,299.0,5,355
3886,חיים בר לב,3.0,3,790000.0,1,2,1,2,1,85.0,1,23
3887,צאליים,3.0,2,8000003.0,1,2,1,1,1,75.0,1,97
3888,דקר,3.0,2,1520000.0,1,2,2,1,2,70.0,1,17
3889,היין,5.0,0,2350000.0,1,1,1,2,2,116.0,5,356
3890,החרוב,10.0,0,3700000.0,1,1,1,2,2,512.0,5,169
3891,יצחק בן צבי,4.0,1,800000.0,1,1,1,1,2,100.0,1,37
3892,שדרות העצמאות,4.0,1,3700000.0,1,2,2,2,2,130.0,1,17
3893,כמון,4.0,1,1900000.0,2,1,1,1,2,95.0,1,6
3894,חולדה הנביאה,7.0,0,1987000.0,2,2,1,1,2,120.0,3,13
3895,זלמן ארן,2.0,3,1195000.0,1,1,1,1,1,65.0,1,10
3896,קיש 8,7.0,0,3800000.0,2,1,1,2,2,330.0,4,25
3897,הרב מצליח,3.0,4,1370000.0,2,2,1,1,2,65.0,1,36
3898,חטיבת גולני,2.0,1,1250000.0,1,1,1,1,1,57.0,1,4
3899,יחיאל דרזנר,4.0,0,1800000.0,2,1,1,2,2,94.0,7,6
3900,קפלן,6.0,0,3600000.0,1,1,1,1,1,170.0,7,27
3901,עלומים,4.0,5,3250000.0,2,1,2,2,2,120.0,9,1
3902,עוזי חיטמן,5.0,0,3000000.0,1,2,2,2,2,150.0,1,25
3903,ביל''ו,7.0,0,2159999.0,1,1,1,1,1,180.0,3,21
3904,הרצל,3.0,3,760000.0,1,2,1,1,2,83.0,1,8
3905,דרך סתרומה,7.0,1,1339000.0,1,1,1,2,1,200.0,1,8
3906,חרלפ,4.0,2,2050000.0,2,2,1,2,2,110.0,1,36
3907,אדנונית,3.0,7,11500000.0,2,1,2,2,2,73.0,1,26
3908,שמורת נחל ערוגות 8,4.0,0,2600000.0,1,1,2,1,2,117.0,7,25
3909,derech yaffo 13,2.0,3,2100000.0,1,1,2,1,1,48.0,1,3
3910,הרצל,3.0,3,560000.0,1,1,1,1,1,65.0,1,62
3911,מרדכי נרקיס,4.0,2,3200000.0,1,1,1,2,1,92.0,1,6
3912,קרית יערים,5.0,4,2250000.0,2,2,1,2,2,200.0,8,108
3913,עולי הגרדום,3.0,3,1350000.0,1,1,2,1,2,70.0,1,9
3914,האיריס,4.0,0,1890000.0,2,1,2,1,2,95.0,1,9
3915,יהודה הלוי,4.0,1,1990000.0,2,1,2,1,2,110.0,1,25
3916,ירושלים,5.0,3,2600000.0,1,1,2,2,2,144.0,1,9
3917,אוסקר שינדלר,4.0,5,1350000.0,2,2,2,2,2,110.0,1,23
3918,הרב אליעזר ברגמן ,4.0,4,2800000.0,2,1,2,2,2,100.0,1,6
3919,נתן ברניצקי,3.0,3,1670000.0,1,1,1,1,2,90.0,1,9
3920,ביאליק,3.0,4,2350000.0,1,1,2,1,2,80.0,1,1
3921,הרכבי,3.0,2,2180000.0,2,1,1,1,2,67.0,1,3
3922,נצח ישראל,6.0,1,2900000.0,1,1,1,2,2,240.0,14,4
3923,שאול המלך,4.0,7,2470000.0,1,1,2,1,2,130.0,1,27
3924,רהב,1.0,0,1597000.0,1,1,1,1,1,80.0,7,17
3925,יערה,5.0,1,2790000.0,1,2,2,2,2,140.0,1,48
3926,משה שרת,2.0,2,1140000.0,2,1,1,1,2,55.0,1,10
3927,דרך למרחב,4.0,3,950000.0,1,1,1,2,2,101.0,1,53
3928,סיגליות,3.0,1,570000.0,1,2,1,1,2,72.0,1,89
3929,רותם המדבר,5.0,1,2985000.0,2,2,1,2,2,175.0,5,200
3930,סמטת התמר,3.0,1,1160000.0,2,2,2,1,2,75.0,7,45
3931,דרך סטלה מאריס,3.0,3,1240000.0,1,2,1,2,1,80.0,1,11
3932,האגס,4.0,4,2100000.0,2,2,2,2,2,143.0,1,4
3933,הרמב''ם,3.0,3,430000.0,1,2,1,1,2,60.0,1,61
3934,שדרות רוטשילד,3.0,10,8600000.0,1,2,2,2,2,142.0,1,3
3935,הנרי מור,5.0,2,3300000.0,2,2,1,1,2,220.0,5,78
3936,נחל פרת,4.0,6,1250000.0,1,1,2,2,2,115.0,1,16
3937,רובע יזרעאל,4.0,5,1075000.0,1,1,2,2,2,116.0,1,60
3938,גבע,5.0,8,1820000.0,2,1,2,2,2,188.0,9,13
3939,בן גוריון,4.0,0,3350000.0,1,2,1,1,2,144.0,2,278
3940,מקור חיים,3.0,0,2320000.0,1,1,1,2,2,65.0,1,6
3941,שדרות בר אילן,3.0,3,1580000.0,1,2,1,1,1,71.0,1,17
3942,השייטת,4.0,7,1490000.0,1,2,2,2,2,110.0,1,13
3943,יוסף נדבה,4.0,2,1600000.0,2,1,1,2,2,90.0,1,6
3944,אברבנאל,5.0,2,2300000.0,1,1,2,2,2,124.0,1,9
3945,הדרור,5.0,6,1740000.0,2,2,2,2,1,115.0,1,69
3946,רחל אלתר,4.0,2,1100000.0,1,1,1,2,2,80.0,1,26
3947,ההגנה,5.0,1,4800000.0,2,2,1,2,2,151.0,8,40
3948,הגלעדי,4.0,3,1500000.0,2,1,1,2,1,94.0,1,7
3949,יהודה הלוי,4.0,3,1550000.0,1,1,2,1,1,120.0,1,14
3950,חיל החימוש,4.0,4,2350000.0,2,2,2,2,2,120.0,1,9
3951,הגד 8,6.0,0,1500000.0,1,1,1,1,2,171.0,4,188
3952,שא נס,3.0,1,1580000.0,1,2,2,2,2,78.0,1,41
3953,אלי כהן,3.0,2,830000.0,1,1,2,1,1,82.0,1,57
3954,חן,4.0,1,980000.0,1,1,2,2,2,109.0,1,23
3955,לוי אשכול,4.0,2,765000.0,1,2,1,1,2,100.0,1,8
3956,השישה עשר,2.0,1,1290000.0,2,1,1,1,2,45.0,1,6
3957,יצחק בן צבי,3.0,3,970000.0,2,1,1,1,2,68.0,1,7
3958,קרסקי,2.0,0,1499000.0,2,1,1,1,1,55.0,1,1
3959,יהודה לייב יוספזון,6.0,8,3750000.0,2,1,2,2,2,164.0,9,14
3960,אילן רמון,6.0,3,800000.0,2,1,1,2,2,128.0,6,81
3961,חזון אי''ש ,5.0,4,2900000.0,1,1,2,2,2,120.0,1,1
3962,הנופר,5.0,2,2350000.0,1,2,2,2,2,125.0,1,25
3963,הרב הרצוג,4.0,8,880000.0,2,2,2,1,1,93.0,1,23
3964,סלוודור דאלי,4.0,0,1580000.0,2,2,2,2,2,130.0,1,78
3965,אוהלי יעקב,3.0,3,1470000.0,1,1,2,2,1,70.0,1,3
3966,הראשונים,4.0,2,2250000.0,1,2,2,2,2,110.0,1,36
3967,טשרניחובסקי,3.0,1,1070000.0,1,2,1,1,1,71.0,1,11
3968,שמואל הנביא,5.0,2,2000000.0,2,2,1,2,2,90.0,1,6
3969,הגפן 24,6.0,0,4000000.0,2,2,1,2,2,260.0,4,256
3970,שאול המלך,6.0,0,1900000.0,2,2,1,2,2,195.0,5,23
3971,אלי כהן,3.0,2,1495000.0,1,1,1,1,2,87.0,1,17
3972,המכבים,6.0,2,2600000.0,1,1,1,2,2,120.0,1,36
3973,האשכולית,3.0,3,1190000.0,1,1,1,2,2,74.0,1,14
3974,הפטמן,4.0,2,1300000.0,2,1,1,1,2,88.0,1,17
3975,חטיבת עציוני 67,5.0,2,1845000.0,2,1,1,2,2,155.0,3,103
3976,החשמונאים 37,4.0,7,1040000.0,1,2,2,1,2,100.0,1,64
3977,יעל,4.0,2,1290000.0,1,2,2,2,2,115.0,1,64
3978,בן יהודה,4.0,4,6300000.0,1,1,2,2,2,200.0,1,3
3979,אריק לביא 1,5.0,29,3300000.0,1,2,2,2,2,157.0,1,25
3980,מרכז העיר,2.0,2,1020000.0,2,1,1,1,1,52.0,1,25
3981,שדרות בגין,4.0,3,1590000.0,1,2,2,2,2,109.0,1,73
3982,נוף הגולן,5.0,0,1350000.0,2,2,1,2,1,138.0,1,87
3983,כרמים,5.0,0,2100000.0,2,2,1,2,2,160.0,2,297
3984,חיננית,8.0,0,390000.0,1,1,1,2,2,240.0,5,357
3985,יוסף,4.0,3,1925000.0,2,2,2,2,2,112.0,1,25
3986,רימון,6.0,0,2200000.0,2,2,1,2,1,165.0,7,289
3987,הר שחרות,4.0,0,735000.0,2,1,1,1,2,90.0,7,358
3988,יאיר,4.0,0,2000050.0,2,2,1,2,2,150.0,5,3
3989,קרל נטר,4.0,5,2450000.0,1,1,2,2,2,130.0,8,9
3990,מרווה,4.0,0,1280000.0,2,2,1,1,2,120.0,5,68
3991,חגי הנביא,4.0,2,1850000.0,1,2,1,2,2,102.0,1,75
3992,הארז,5.0,0,1300000.0,1,1,1,2,2,130.0,8,81
3993,יפה נוף,4.0,1,580000.0,2,2,1,1,2,95.0,1,124
3994,קליינמן,4.0,2,1590000.0,2,2,1,1,2,68.0,1,6
3995,אריה עוזר,5.0,2,1450000.0,1,1,2,2,2,120.0,1,13
3996,נופך 3,4.0,11,2300000.0,2,2,1,2,2,107.0,1,41
3997,שלמה בן יוסף,2.0,1,1490000.0,2,1,1,1,1,63.0,1,17
3998,אביגדור המאירי,3.0,7,1000050.0,2,1,2,2,2,114.0,1,23
3999,ארתור רובינשטיין,4.0,3,3700000.0,1,1,2,2,2,105.0,1,3
4000,חזית חמש,2.0,1,1390000.0,1,2,1,2,1,55.0,1,10
4001,אברבנאל,5.0,1,2150000.0,1,1,1,2,2,120.0,1,36
4002,מנחם 9,2.0,0,1750000.0,2,2,1,2,2,45.0,1,6
4003,התשעים ושלוש,5.0,1,1500000.0,2,2,1,2,2,120.0,1,11
4004,עמק הזיתים,4.0,0,665000.0,2,1,1,2,2,76.0,1,11
4005,ישעיהו,2.0,0,2100000.0,2,1,1,2,2,33.0,1,3
4006,אחיה השילוני,5.0,2,2700000.0,1,1,1,2,1,130.0,8,36
4007,היבנר,4.0,1,1960000.0,2,1,2,1,2,108.0,1,19
4008,שושן 2,4.0,3,1300000.0,2,2,1,2,2,113.0,8,26
4009,סמואל לואיס הרברט,5.0,1,2490000.0,1,1,2,2,2,130.0,1,9
4010,יחיאל פלדי,4.0,6,1970000.0,1,1,2,2,2,100.0,1,14
4011,העבודה,4.0,1,795000.0,2,2,2,1,2,128.0,1,60
4012,האלון,8.0,0,3300000.0,1,1,1,2,2,260.0,5,327
4013,פולה בן גוריון,3.0,2,1240000.0,2,1,1,1,2,74.0,1,32
4014,פולה בן גוריון,3.0,2,1260000.0,2,1,1,1,2,74.0,1,32
4015,דגנייה,3.0,0,6500000.0,2,1,1,2,2,106.0,2,48
4016,אביטל,5.0,0,1500000.0,1,1,1,2,2,130.0,4,261
4017,הרצל,4.0,0,2300000.0,2,1,1,2,1,85.0,1,1
4018,אחינועם,2.0,1,750000.0,2,1,1,2,2,55.0,1,6
4019,שושנה דמארי,4.0,3,1650000.0,1,1,2,2,2,135.0,1,73
4020,גבירצמן,3.0,1,1580000.0,2,1,1,2,1,78.0,1,6
4021,אבן סינא,3.0,2,950000.0,2,1,1,2,1,72.0,1,11
4022,משה הס 12,5.0,4,1880000.0,1,2,2,1,2,135.0,1,25
4023,"28, Menachem Begin",3.0,2,1530000.0,1,2,2,2,2,85.0,1,359
4024,צבי הרמן שפירא,4.0,5,1580000.0,1,1,2,1,2,105.0,1,9
4025,שלמה בן יוסף,3.0,3,1350000.0,1,1,1,2,1,120.0,6,6
4026,רשי,3.0,3,13400000.0,2,1,2,2,2,70.0,1,133
4027,בן יהודה,3.0,1,2200000.0,1,1,2,2,2,103.0,1,21
4028,עין גנים,4.0,1,1740000.0,1,2,2,2,2,120.0,1,19
4029,עמיאל רוז'נסקי,5.0,3,1710000.0,1,1,2,1,2,120.0,1,14
4030,התאנה,4.0,3,1490000.0,2,1,1,2,2,90.0,1,6
4031,כסלו,4.0,5,1790000.0,1,2,1,2,1,110.0,1,25
4032,אברהם אבינו,4.0,0,835000.0,2,2,1,2,2,78.0,7,23
4033,פסח חברוני,3.0,4,1360000.0,2,1,1,1,2,60.0,1,6
4034,התמר,5.0,0,6000000.0,1,1,1,2,2,190.0,5,164
4035,ארלוזרוב,4.0,2,1150000.0,1,2,2,2,2,110.0,1,26
4036,יצחק חכימי,3.0,3,1300000.0,1,1,2,2,2,106.0,1,13
4037,מנורה,5.0,7,2600000.0,1,1,1,2,2,110.0,1,66
4038,הדרור,4.0,0,1850000.0,1,1,1,1,2,100.0,7,19
4039,רחל הרשנזון,4.0,3,1200000.0,1,1,1,2,2,90.0,1,14
4040,שטרית,1.0,2,480000.0,1,1,1,1,1,50.0,1,37
4041,תוסיה כהן,5.0,3,2850000.0,1,1,2,2,2,110.0,8,360
4042,אחיעזר,1.0,0,450000.0,2,1,1,1,1,18.0,1,3
4043,תענך,3.0,3,790000.0,1,1,1,1,1,67.0,1,11
4044,00,5.0,0,2680000.0,1,1,1,2,2,160.0,5,362
4045,הכרמל,3.0,0,3400000.0,1,1,1,2,2,130.0,1,214
4046,כצנלסון,3.0,0,1630000.0,1,1,1,1,2,79.0,7,214
4047,קקל,6.0,0,3300000.0,1,1,1,1,1,200.0,1,214
4048,מעלה אבשלום,5.0,2,1750000.0,1,1,1,2,2,120.0,1,214
4049,השומרים,5.0,0,2800000.0,1,1,1,2,2,170.0,1,214
4050,מעלה אבשלום,6.0,0,2150000.0,1,1,1,2,2,164.0,9,214
4051,מעלה אבשלום,5.0,0,1950000.0,1,1,2,1,2,120.0,7,214
4052,הגומא,6.0,0,2380000.0,1,1,1,2,2,164.0,1,214
4053,אלכסנדר זייד,5.0,0,3500000.0,1,1,1,2,1,120.0,1,214
4054,הרצל,6.0,0,2050000.0,1,1,1,2,2,170.0,1,214
4055,דרך השלום,4.0,1,920000.0,2,2,1,1,2,82.0,1,23
4056,גולן,6.0,7,2300000.0,1,1,2,2,2,180.0,1,175
4057,בת עין 12 א,3.0,1,3200000.0,1,1,1,1,2,75.0,1,3
4058,עמק החולה 8,6.0,14,4190000.0,1,1,2,2,2,150.0,12,1
4059,שולמית אלוני,4.0,6,2650000.0,2,2,2,2,2,100.0,1,9
4060,בית לחם 1,5.0,4,2850000.0,1,1,2,1,2,124.0,6,9
4061,שדרות ההסתדרות,3.0,1,630000.0,1,1,1,2,2,70.0,1,57
4062,כרמלי,6.0,3,2200000.0,1,1,2,2,2,145.0,8,19
4063,גיורא יוספטל,5.0,1,1300000.0,1,1,2,2,2,170.0,1,60
4064,האלה,5.0,0,1790000.0,2,2,1,2,2,138.0,2,78
4065,דרכי איש,5.0,0,2000000.0,1,1,1,2,1,288.0,7,63
4066,הנשיא,6.0,0,6500000.0,1,1,1,2,2,280.0,5,21
4067,שדרות מחל,3.0,2,660000.0,2,2,1,1,1,72.0,1,11
4068,ביאליק,4.0,1,1150000.0,1,2,2,2,1,97.0,1,13
4069,ההגנה,6.0,2,1580000.0,2,2,2,2,2,150.0,1,64
4070,המשנה,5.0,4,5950000.0,1,1,2,1,2,166.0,6,3
4071,אנטוורפן,3.0,1,1490000.0,2,1,1,1,2,70.0,1,25
4072,בני אפרים,2.0,3,2680000.0,1,1,2,2,2,67.0,1,3
4073,מאיר הרמן,3.0,1,1820000.0,2,1,2,2,2,95.0,1,67
4074,זיסמן שלום 14,3.0,31,3850000.0,1,2,2,1,1,100.0,1,1
4075,2,4.0,0,890000.0,1,1,1,1,2,213.0,1,142
4076,דרך מנחם בגין,3.0,14,3090000.0,1,1,2,2,2,68.0,1,3
4077,דפנה,4.0,4,920000.0,1,2,1,1,2,95.0,1,72
4078,אליהו הנביא,5.0,1,1480000.0,1,1,2,2,1,120.0,1,78
4079,דליה רביקוביץ,4.0,7,1660000.0,2,2,2,2,2,100.0,1,7
4080,רבי מאיר בעל הנס,5.0,4,2400000.0,2,1,2,2,2,113.0,8,4
4081,משה יוסטמן,5.0,1,1850000.0,2,1,1,2,2,97.0,1,6
4082,הרימון,5.0,0,3800000.0,1,1,1,1,1,240.0,4,363
4083,הקליר,4.0,4,1670000.0,1,1,2,2,2,110.0,1,25
4084,תחיה,5.0,8,1595000.0,1,1,2,2,2,128.0,1,53
4085,זלמן שזר 206,3.0,1,550000.0,2,2,1,2,2,60.0,1,87
4086,שדרות יוהנה ז'בוטינסקי,4.0,2,1140000.0,2,2,2,2,1,140.0,1,23
4087,בלפור,5.0,9,2500000.0,1,1,2,2,2,260.0,9,13
4088,ויצמן 103,4.0,2,1450000.0,2,2,2,1,2,90.0,1,25
4089,שדרות בן גוריון,5.0,5,1480000.0,2,1,2,2,2,125.0,1,72
4090,שדרות בן גוריון,5.0,0,1820000.0,1,1,1,2,2,125.0,7,72
4091,ראש פינה,4.0,2,2140000.0,1,1,2,2,2,118.0,1,19
4092,יריחו 19,4.0,4,2000050.0,1,2,2,2,2,100.0,1,10
4093,משעול שמשון,4.0,0,1550000.0,2,2,1,2,2,100.0,7,58
4094,מקס נורדאו,4.0,3,1950000.0,2,1,2,1,2,115.0,1,17
4095,מפרץ שלמה,3.0,2,1290000.0,2,1,2,1,2,74.0,1,10
4096,האלוף עוזי נרקיס,4.0,6,2390000.0,2,1,2,2,2,122.0,1,84
4097,יהודה עמיחי,9.0,0,500000.0,1,1,1,1,2,157.0,2,12
4098,טבריה,4.0,1,1400000.0,1,1,2,2,2,101.0,1,13
4099,הלילך 6,5.0,0,3100000.0,1,1,1,2,2,360.0,2,13
4100,נחל שורק,6.0,0,3150000.0,1,2,2,2,2,160.0,9,75
4101,שדרות פנחס לבון,5.0,3,1600000.0,2,1,1,2,2,125.0,8,25
4102,בר אילן,3.0,2,1950000.0,1,2,1,1,1,90.0,1,21
4103,יעקב מרידור 3,5.0,3,1530000.0,1,1,2,2,2,130.0,1,13
4104,בלפור,3.0,4,6500000.0,1,1,1,2,2,110.0,6,3
4105,הזוהר,3.0,4,3300000.0,1,1,2,1,2,80.0,1,364
4106,ענבלים,7.0,0,2000000.0,1,1,1,2,2,650.0,5,65
4107,אברבנאל,5.0,2,2350000.0,2,2,2,2,2,110.0,1,36
4108,עין גדי 4,9.0,3,5450000.0,1,2,1,2,1,225.0,1,365
4109,המכבים,3.0,1,1380000.0,1,1,2,2,2,60.0,1,19
4110,יצחק גרינבוים,6.0,0,2400000.0,1,1,1,2,2,165.0,4,16
4111,אקסודוס,5.0,7,2900000.0,1,1,1,2,2,160.0,1,4
4112,החשמונאים,4.0,10,1280000.0,2,1,2,2,2,120.0,1,64
4113,מאפו,3.0,3,930000.0,1,1,2,2,2,110.0,9,78
4114,אריה בן אליעזר,5.0,1,2090000.0,2,1,1,2,1,117.0,6,6
4115,התותחנים,2.0,3,1149999.0,1,1,1,1,1,55.0,1,366
4116,האמהות,4.0,3,2100000.0,2,1,2,2,2,94.0,1,67
4117,...,4.0,14,1250000.0,1,1,2,2,2,120.0,1,13
4118,....,4.0,14,1250000.0,1,1,2,1,2,120.0,1,13
4119,שדרות משה דיין,3.0,2,1500000.0,1,2,2,1,2,60.0,1,6
4120,צבר,3.0,0,530000.0,2,1,1,2,2,80.0,1,65
4121,מחרוזת,3.0,2,1490000.0,1,1,1,2,2,80.0,1,3
4122,השיבולים,4.0,6,1000050.0,2,2,2,2,2,114.0,1,60
4123,רבי עקיבא מול ישיבת מיר,4.0,5,1340000.0,1,1,2,2,1,90.0,1,367
4124,הדקל,6.0,0,1300000.0,2,2,2,2,2,240.0,5,37
4125,נחל זרחן,4.0,2,1330000.0,2,1,2,2,2,129.0,1,97
4126,בלפור,4.0,2,2070000.0,2,2,2,2,2,100.0,1,19
4127,שדרות בנימין,5.0,3,1550000.0,1,1,2,1,1,90.0,1,25
4128,קריתי,1.0,0,3500000.0,1,1,1,1,1,252.0,10,368
4129,אוהל יעקב,4.0,4,950000.0,2,1,2,2,2,110.0,1,37
4130,הערבה,5.0,0,2700000.0,1,1,1,1,2,135.0,7,269
4131,הצנחנים,3.0,1,1790000.0,2,2,1,2,2,97.0,1,20
4132,יגאל אלון,5.0,19,1500000.0,1,2,2,2,2,138.0,1,64
4133,עמי,3.0,1,1650000.0,2,1,1,1,1,70.0,1,36
4134,בורוכוב,4.0,0,1330000.0,2,1,1,1,2,115.0,5,16
4135,הלוטם,5.0,16,1550000.0,2,2,2,2,2,130.0,1,45
4136,אלונים,4.0,2,750000.0,1,1,1,2,2,120.0,1,37
4137,זאב ז'בוטינסקי,2.0,2,1350000.0,2,1,2,1,1,65.0,1,10
4138,קפלן,2.0,1,1080000.0,1,1,1,1,2,52.0,1,10
4139,חיל האוויר,5.0,2,2530000.0,1,1,2,2,2,125.0,1,9
4140,מעגל השלום,4.0,11,2480000.0,2,2,2,2,2,105.0,1,9
4141,ביאליק,5.0,4,2250000.0,1,1,1,1,1,117.0,1,48
4142,ההשכלה ,1.0,3,555000.0,1,2,2,2,2,49.0,1,97
4143,הנרייטה סולד,4.0,3,1400000.0,1,2,1,2,2,70.0,6,19
4144,קיבוץ גלויות,4.0,3,750000.0,1,1,1,2,2,85.0,1,188
4145,יעל,5.0,0,4650000.0,1,1,1,1,2,505.0,4,182
4146,שדרות לכיש,3.0,3,790000.0,2,1,2,1,2,70.0,1,58
4147,קם,3.0,0,4590000.0,1,1,1,1,2,275.0,2,3
